anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,1.34,54.0,40284.0
2018,44,1.47,66.0,44958.0
2018,45,2.2,104.0,47243.0
2018,46,2.62,117.0,44591.0
2018,47,3.57,145.0,40591.0
2018,48,3.53,148.0,41911.0
2018,49,3.06,137.0,44826.0
2018,50,4.22,184.0,43555.0
2018,51,4.27,201.0,47093.0
2018,52,4.97,218.0,43887.0
2019,01,5.92,248.0,41900.0
2019,02,7.56,326.0,43123.0
2019,03,8.83,434.0,49128.0
2019,04,12.48,585.0,46857.0
2019,05,13.92,665.0,47772.0
2019,06,12.9,592.0,45891.0
2019,07,12.93,516.0,39898.0
2019,08,10.15,449.0,44221.0
